v8-version,5,8,283,41,0
code-creation,Stub,16,0x205fd2a37b00,196,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a37be0,365,"CEntryStub"
code-creation,Stub,16,0x205fd2a37d60,196,"BinaryOpICStub"
code-creation,Stub,18,0x205fd2a37e40,140,"ToBooleanICStub"
code-creation,Stub,3,0x205fd2a37ee0,2266,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a387c0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x205fd2a38900,2311,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a39220,2254,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a39b00,2242,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a3a3e0,240,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a3a4e0,2254,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a3adc0,196,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a3aea0,2296,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a3b7a0,117,"StubFailureTrampolineStub"
code-creation,Stub,3,0x205fd2a3b820,2307,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a3c140,208,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a3c220,2314,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a3cb40,2272,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a3d420,404,"CEntryStub"
code-creation,Stub,16,0x205fd2a3d5c0,268,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a3d6e0,2296,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a3dfe0,272,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a3e100,423,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a3e2c0,183,"DoubleToIStub"
code-creation,Stub,3,0x205fd2a3e380,2241,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a3ec60,2257,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a3f540,375,"NumberToStringStub"
code-creation,Stub,16,0x205fd2a3f6c0,272,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a3f7e0,2266,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a400c0,2272,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a409a0,2284,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a412a0,216,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a41380,2250,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a41c60,407,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a41e00,2254,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a426e0,395,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a42880,208,"BinaryOpICStub"
code-creation,Handler,4,0x205fd2a42960,744,"An IC handler from the snapshot"
code-creation,Stub,3,0x205fd2a42c60,978,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a43040,280,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a43160,1412,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a43700,196,"BinaryOpICStub"
code-creation,Stub,17,0x205fd2a437e0,157,"CompareICStub"
code-creation,Stub,3,0x205fd2a43880,2291,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a44180,268,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a442a0,2250,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a44b80,423,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a44d40,208,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a44e20,2269,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a45700,590,"SubtractWithFeedbackStub"
code-creation,Builtin,5,0x205fd2a45960,584,"Subtract"
code-creation,Builtin,5,0x205fd2a45bc0,365,"NonNumberToNumber"
code-creation,Builtin,5,0x205fd2a45d40,298,"NonPrimitiveToPrimitive_Number"
code-creation,Stub,3,0x205fd2a45e80,455,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x205fd2a46060,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x205fd2a461a0,2238,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a46a60,124,"CallICTrampolineStub"
code-creation,Stub,3,0x205fd2a46ae0,1416,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a47080,2245,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a47960,391,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a47b00,423,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a47cc0,141,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a47d60,2245,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a48640,2250,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a48f20,2291,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a49820,423,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a499e0,1412,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a49f80,240,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a4a080,1002,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a4a480,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,16,0x205fd2a4a5c0,141,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a4a660,729,"AddWithFeedbackStub"
code-creation,Builtin,5,0x205fd2a4a940,1132,"Add"
code-creation,Stub,3,0x205fd2a4adc0,637,"StringAddStub"
code-creation,Stub,3,0x205fd2a4b040,2266,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a4b920,451,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a4bb00,196,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a4bbe0,2265,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a4c4c0,3153,"SubStringStub"
code-creation,Handler,4,0x205fd2a4d120,308,"An IC handler from the snapshot"
code-creation,Stub,16,0x205fd2a4d260,423,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a4d420,423,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a4d5e0,1386,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a4db60,2241,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a4e440,196,"BinaryOpICStub"
code-creation,Stub,17,0x205fd2a4e520,157,"CompareICStub"
code-creation,Stub,3,0x205fd2a4e5c0,2250,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a4eea0,232,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a4efa0,2253,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a4f880,407,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a4fa20,208,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a4fb00,216,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a4fbe0,2270,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a504c0,141,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a50560,280,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a50680,2254,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a50f60,427,"CallApiGetterStub"
code-creation,Stub,3,0x205fd2a51120,2307,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a51a40,141,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a51ae0,276,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a51c00,276,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a51d20,116,"StubFailureTrampolineStub"
code-creation,Stub,3,0x205fd2a51da0,2238,"RecordWriteStub"
code-creation,Handler,4,0x205fd2a52660,296,"An IC handler from the snapshot"
code-creation,Stub,3,0x205fd2a527a0,2254,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a53080,2250,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a53960,2257,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a54240,206,"InternalArrayConstructorStub"
code-creation,Stub,3,0x205fd2a54320,2254,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a54c00,2283,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a55500,216,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a555e0,423,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a557a0,2238,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a56060,240,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a56160,435,"CallConstructStub"
code-creation,Builtin,5,0x205fd2a56320,168,"Construct"
code-creation,Builtin,5,0x205fd2a563e0,114,"ConstructFunction"
code-creation,Builtin,5,0x205fd2a56460,249,"ConstructBoundFunction"
code-creation,Builtin,5,0x205fd2a56560,121,"ConstructProxy"
code-creation,Stub,18,0x205fd2a565e0,188,"ToBooleanICStub"
code-creation,Stub,3,0x205fd2a566a0,976,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a56a80,268,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a56ba0,427,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a56d60,2296,"RecordWriteStub"
